Tanggal_Penerbangan,Hari,Maskapai,Nomor_Penerbangan,Bandara_Asal,Kode_IATA_Asal,Bandara_Tujuan,Kode_IATA_Tujuan,Jadwal_Keberangkatan,Jadwal_Kedatangan,Kota_tujuan,Cuaca_tujuan,Deskripsi_tujuan,Suhu_Celcius_tujuan,Kelembaban_%_tujuan,Tekanan_hPa_tujuan,Kecepatan_Angin_m/s_tujuan,Tanggal_tujuan
2025-07-28,Senin,Batik Air,ID6288,Soekarno-Hatta International,CGK,Hasanudin,UPG,10,210,Makassar,Drizzle,gerimis,27.5,66,1012,3.2,2025-07-28
2025-07-28,Senin,Sriwijaya Air,SJ592,Soekarno-Hatta International,CGK,Hasanudin,UPG,30,235,Makassar,Thunderstorm,badai petir,24.7,64,1006,2.7,2025-07-28
2025-07-28,Senin,Citilink,QG346,Soekarno-Hatta International,CGK,Hasanudin,UPG,70,270,Makassar,Thunderstorm,badai petir,24.7,64,1006,2.7,2025-07-28
2025-07-28,Senin,Lion Air,JT898,Soekarno-Hatta International,CGK,Hasanudin,UPG,90,290,Makassar,Thunderstorm,badai petir,24.7,64,1006,2.7,2025-07-28
2025-07-28,Senin,Lion Air,JT986,Soekarno-Hatta International,CGK,Hasanudin,UPG,90,290,Makassar,Thunderstorm,badai petir,24.7,64,1006,2.7,2025-07-28
2025-07-28,Senin,Lion Air,JT3896,Soekarno-Hatta International,CGK,Hasanudin,UPG,90,290,Makassar,Thunderstorm,badai petir,24.7,64,1006,2.7,2025-07-28
2025-07-28,Senin,Lion Air,JT868,Soekarno-Hatta International,CGK,Juanda,SUB,210,295,Surabaya,Clouds,berawan,24.1,87,1013,3.0,2025-07-28
2025-07-28,Senin,Lion Air,JT690,Soekarno-Hatta International,CGK,Juanda,SUB,210,295,Surabaya,Clouds,berawan,24.1,87,1013,3.0,2025-07-28
2025-07-28,Senin,Lion Air,JT748,Soekarno-Hatta International,CGK,Juanda,SUB,210,295,Surabaya,Clouds,berawan,24.1,87,1013,3.0,2025-07-28
2025-07-28,Senin,China Airlines,CI8612,Soekarno-Hatta International,CGK,Hasanudin,UPG,95,310,Makassar,Thunderstorm,badai petir,24.7,64,1006,2.7,2025-07-28
2025-07-28,Senin,Saudia,SV6193,Soekarno-Hatta International,CGK,Hasanudin,UPG,95,310,Makassar,Thunderstorm,badai petir,24.7,64,1006,2.7,2025-07-28
